								 NODES INFORMATION FILE
--------------------------------------------------------------------------------------------							 
ID          CX          CY          CZ          TrasX   TrasY   TrasZ   RotX    RotY    RotZ          
0           0.0         0.0         0.0         -1      -1      -1      -1      -1      -1
1           0.0         2.5         0.0          0       0      -1      -1      -1       0
2           0.0         5.0         0.0          0       0      -1      -1      -1       0
3           0.0         7.5         0.0          0       0      -1      -1      -1       0
4           4.0         0.0         0.0         -1      -1      -1      -1      -1      -1
5           4.0         2.5         0.0          0       0      -1      -1      -1       0
6           4.0         5.0         0.0          0       0      -1      -1      -1       0
7           4.0         7.5         0.0          0       0      -1      -1      -1       0
8           8.0         0.0         0.0         -1      -1      -1      -1      -1      -1
9           8.0         2.5         0.0          0       0      -1      -1      -1       0
10          8.0         5.0         0.0          0       0      -1      -1      -1       0
11          8.0         7.5         0.0          0       0      -1      -1      -1       0
