								 NODES INFORMATION FILE
--------------------------------------------------------------------------------------------							 
ID          CX          CY          CZ          TrasX   TrasY   TrasZ   RotX    RotY    RotZ         
0			0			0			0			-1		-1		-1		-1		-1		-1
1			4			0			0			-1		-1		-1		-1		-1		-1
2			4			4			0			-1		-1		-1		-1		-1		-1
3			0			4			0			-1		-1		-1		-1		-1		-1
4			0			0			3.3			 0		 0		 0		 0		 0		 0
5			4			0			3.3			 0		 0		 0		 0		 0		 0
6			4			4			3.3			 0		 0		 0		 0		 0		 0
7			0			4			3.3			 0		 0		 0		 0		 0		 0
8			0			0			6.9			 0		 0		 0		 0		 0		 0
9			4			0			6.9			 0		 0		 0		 0		 0		 0
10			4			4			6.9			 0		 0		 0		 0		 0		 0
11			0			4			6.9			 0		 0		 0		 0		 0		 0
12			0			0			10.5		 0		 0		 0		 0		 0		 0
13			4			0			10.5		 0		 0		 0		 0		 0		 0
14			4			4			10.5		 0		 0		 0		 0		 0		 0
15			0			4			10.5		 0		 0		 0		 0		 0		 0
